;target_day_n;target_day_engagement;target_day_prop;random_day_n;random_day_engagement;random_day_prop;comparison_metric;comparison_metric_weighted;hot_topic
doel;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
machu picchu;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
amerikan trump of bid;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
brussel;12;179;0.01085972850678733;12.0;35.0;0.01038961038961039;1.0452488687782806;2.3638080075839327;0
syrië;1;5;0.0009049773755656109;1.0;1.0;0.0008658008658008658;1.0452488687782806;2.337247523992993;0
macron;1;41;0.0009049773755656109;1.0;9.0;0.0008658008658008658;1.0452488687782806;2.2309527886078255;0
ivoriaans;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
professor jose-luis;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
gaston;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
ivorian;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
make-up;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
jimenez;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
evergem;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
jani kazaltzis;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
klein;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
maehle;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
moldavië ;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
katholiek kerk;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
thaise;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
bongonda;1;6;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.2167327988988035;0
belg;1;13;0.0009049773755656109;1.0;3.0;0.0008658008658008658;1.0452488687782806;2.175859031116184;0
mike;1;4;0.0009049773755656109;1.0;1.0;0.0008658008658008658;1.0452488687782806;2.090497737556561;0
republikeins;1;4;0.0009049773755656109;1.0;1.0;0.0008658008658008658;1.0452488687782806;2.090497737556561;0
corona ?;2;4;0.0018099547511312218;1.0;4.0;0.0008658008658008658;2.090497737556561;2.090497737556561;0
vuelta;2;4;0.0018099547511312218;2.0;1.0;0.0017316017316017316;1.0452488687782806;2.090497737556561;0
sp.a;1;39;0.0009049773755656109;1.0;10.0;0.0008658008658008658;1.0452488687782806;2.064201121732297;0
italië;4;21;0.0036199095022624436;2.0;22.0;0.0017316017316017316;2.090497737556561;2.042433893503612;0
new york;1;19;0.0009049773755656109;1.0;5.0;0.0008658008658008658;1.0452488687782806;2.0375651526252225;0
weens;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
gb;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
vlaams onderwijsraad;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
twee colruyt-winkel;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
interieurzaak;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
orange;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
niets;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
miljoen amerikan;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
dirk bron;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
ikea;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
lamine bangoura;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
jumbo-visma;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
dertigers;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
andy;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
wortel;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
anouk matton;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
bie baert;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
geopoliticoloog;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
rachida lamrabet;1;5;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.023590929864063;0
